key,value
kl-adoor,4734
kl-agathy,4894
kl-alathur,4922
kl-alleppey,477
kl-amini,4891
kl-androth,4893
kl-attingal,470
kl-badagara,496
kl-bitra,4890
kl-calicut,495
kl-cannanore,497
kl-chetlat,4899
kl-ernakulam,484
kl-irinjalakuda,480
kl-kadamath,4897
kl-kalpeni,4895
kl-kalpetta,4936
kl-kanhangad,4997
kl-kanjirapally,4828
kl-karunagapally,476
kl-kasargode,4994
kl-kavarathy,4896
kl-kiltan,4898
kl-koduvayur,4923
kl-kottayam,481
kl-kunnamkulam,4885
kl-mananthody,4935
kl-manjeri,483
kl-mannarghat,4924
kl-mavelikkara,479
kl-minicoy,4892
kl-munnar,4865
kl-muvattupuzha,485
kl-nedumandad,4728
kl-nedumgandam,4868
kl-nilambur,4931
kl-palai,4822
kl-palghat,491
kl-pathanamthitta,4733
kl-payyanur,4985
kl-peermedu,4869
kl-perinthalmanna,4933
kl-punalur,475
kl-quilon,474
kl-ranni,4735
kl-shertallai,478
kl-shoranur,4926
kl-taliparamba,4982
kl-tellicherry,490
kl-thiruvananthapuram,471
kl-thodupuzha,4862
kl-tirur,494
kl-tiruvalla,469
kl-trichur,487
kl-uppala,4998
kl-vadakkanchery,4884
kl-vaikom,4829
kt-afzalpur,8470
kt-ainapur,8339
kt-aland,8477
kt-alur,8170
kt-anekal,8110
kt-ankola,8388
kt-arsikere,8174
kt-athani,8289
kt-aurad,8485
kt-bableshwar,8355
kt-badami,8357
kt-bagalkot,8354
kt-bagepalli,8150
kt-bailhongal,8288
kt-bangalore,80
kt-bangarpet,8153
kt-bantwal,8255
kt-basavakalyan,8481
kt-basavanabagewadi,8358
kt-basavapatna,8180
kt-belgaum,831
kt-bellary,8392
kt-belthangady,8256
kt-belur,8177
kt-bhadravati,8282
kt-bhalki,8484
kt-bhatkal,8385
kt-bidar,8482
kt-bijapur,8352
kt-biligi,8425
kt-cannarayapatna,8176
kt-chadchan,8422
kt-challakere,8195
kt-chamrajnagar,8226
kt-channagiri,8189
kt-channapatna,8113
kt-chikkaballapur,8156
kt-chikkanayakanahalli,8133
kt-chikkodi,8338
kt-chikmagalur,8262
kt-chincholi,8475
kt-chintamani,8154
kt-chitradurga,8194
kt-chittapur,8474
kt-cowdahalli,8225
kt-davangere,8192
kt-deodurga,8531
kt-devarahippargi,8424
kt-doddaballapur,8119
kt-gadag,8372
kt-gangavathi,8533
kt-gokak,8332
kt-gowribidanur,8155
kt-gubbi,8131
kt-gulbarga,8472
kt-gundlupet,8229
kt-h.b.halli,8397
kt-h.d.kote,8228
kt-haliyal,8284
kt-hangal,8379
kt-harapanahalli,8398
kt-hassan,8172
kt-haveri,8375
kt-hebri,8253
kt-hirekerur,8376
kt-hiriyur,8193
kt-holalkere,8191
kt-holenarasipur,8175
kt-honnali,8188
kt-honnavar,8387
kt-hosadurga,8199
kt-hosakote,8111
kt-hosanagara,8185
kt-hospet,8394
kt-hubli,836
kt-hukkeri (sankeshwar),8333
kt-humnabad,8483
kt-hungund,8351
kt-hunsagi,8444
kt-hunsur,8222
kt-huvinahadagali,8399
kt-indi,8359
kt-jagalur,8196
kt-jamkhandi,8353
kt-jewargi,8442
kt-joida,8383
kt-k.r.nagar,8223
kt-kadur,8267
kt-kalghatagi,8370
kt-kamalapur,8478
kt-kanakapura,8117
kt-kargal,8186
kt-karkala,8258
kt-karwar,8382
kt-khanapur,8336
kt-kolar,8152
kt-kollegal,8224
kt-koppa,8265
kt-koppal,8539
kt-koratageri,8138
kt-krishnarajapet,8230
kt-kudligi,8391
kt-kumta,8386
kt-kundapur,8254
kt-kundgol,8304
kt-kunigal,8132
kt-kurugodu,8393
kt-kustagi,8536
kt-lingsugur,8537
kt-madikeri,8272
kt-madugiri,8137
kt-malavalli,8231
kt-malur,8151
kt-mandya,8232
kt-mangalore,824
kt-manvi,8538
kt-mashal,8471
kt-molkalmuru,8198
kt-mudalgi,8334
kt-muddebihal,8356
kt-mudhol,8350
kt-mudigere,8263
kt-mulbagal,8159
kt-mundagod,8301
kt-mundargi,8371
kt-murugod,8337
kt-mysore,821
kt-nagamangala,8234
kt-nanjangud,8221
kt-nargund,8377
kt-narsimharajapur,8266
kt-navalgund,8380
kt-nelamangala,8118
kt-nimburga,8440
kt-pandavpura,8236
kt-pavagada,8136
kt-puttur,8251
kt-raibag (kudchi),8331
kt-raichur,8532
kt-ramdurg,8335
kt-ranebennur,8373
kt-ron,8381
kt-sagar,8183
kt-sakleshpur,8173
kt-salkani,8283
kt-sandur,8395
kt-saundatti,8330
kt-savanur,8378
kt-sedam,8441
kt-shahapur,8479
kt-shankarnarayana,8259
kt-shikaripura,8187
kt-shimoga,8182
kt-shirahatti,8487
kt-shorapur,8443
kt-siddapur,8389
kt-sidlaghatta,8158
kt-sindagi,8488
kt-sindhanur,8535
kt-sira,8135
kt-sirsi,8384
kt-siruguppa,8396
kt-somwarpet,8276
kt-sorab,8184
kt-srinivasapur,8157
kt-sullia,8257
kt-t.narsipur,8227
kt-tallak,8190
kt-tarikere,8261
kt-telgi,8426
kt-thirthahalli,8181
kt-tiptur,8134
kt-tumkur,816
kt-turuvekere,8139
kt-udupi,820
kt-virajpet,8274
kt-wadi,8476
kt-yadgiri,8473
kt-yelburga,8534
kt-yellapur,8419
mh-achalpur,7223
mh-aheri,7133
mh-ahmednagar,241
mh-ahmedpur,2381
mh-ajara,2323
mh-akkalkot,2181
mh-akola,724
mh-akole,2424
mh-akot,7258
mh-alibagh,2141
mh-amagaon,7189
mh-amalner,2587
mh-ambad,2483
mh-ambejogai,2446
mh-amravati,721
mh-arjuni-merogaon,7196
mh-arvi,7157
mh-ashti,2441
mh-atpadi,2343
mh-aurangabad,2432
mh-ausa,2383
mh-babhulgaon,7203
mh-balapur,7257
mh-baramati,2112
mh-barshi takli,7255
mh-barsi,2184
mh-basmatnagar,2454
mh-bassein,250
mh-bhadrawati,7175
mh-bhamregadh,7134
mh-bhandara,7184
mh-bhir,2442
mh-bhiwandi,2522
mh-bhiwapur,7106
mh-bhokar,2467
mh-bhokardan,2485
mh-bhoom,2478
mh-bhor,2113
mh-bhudargad (gargoti),2599
mh-bhusawal,2582
mh-billoli,2465
mh-brahmapuri,7177
mh-buldhana,7262
mh-butibori,7103
mh-canacona (quepem),8346
mh-chalisgaon,2589
mh-chamorshi,7135
mh-chandgad,2320
mh-chandrapur,7172
mh-chandurbazar,7227
mh-chandurrly,7222
mh-chanwad,2556
mh-chhikaldara,7220
mh-chikhali,7264
mh-chinchwad,212
mh-chiplun,2355
mh-chopda,2586
mh-chumur,7170
mh-dahanu,2528
mh-dapoli,2358
mh-darwaha,7238
mh-daryapur,7224
mh-daund,2117
mh-degloor,2463
mh-delhi tanda,2460
mh-deogad,2364
mh-deolgaonraja,7261
mh-deoli,7158
mh-deori,7199
mh-desaiganj,7137
mh-dhadgaon,2595
mh-dhanora,7138
mh-dharani,7226
mh-dhiwadi,2165
mh-dhule,2562
mh-digras,7234
mh-dindori,2557
mh-edalabad,2583
mh-erandul,2588
mh-etapalli,7136
mh-gadchiroli,7132
mh-gadhinglaj,2327
mh-gaganbavada,2326
mh-gangakhed,2453
mh-gangapur,2433
mh-gevrai,2447
mh-ghatanji,7230
mh-golegaon,2439
mh-gond pipri,7171
mh-gondia,7182
mh-goregaon,7187
mh-guhagar,2359
mh-hadgaon,2468
"mh-hatkangale 
(ichalkaranji)",2324
mh-hinganghat,7153
mh-hingoli,2456
mh-hingua,7104
mh-igatpuri,2553
mh-indapur,2111
mh-islampur,2342
mh-jalgaon,257
mh-jalgaonjamod,7266
mh-jalna,2482
mh-jamkhed,2421
mh-jamner,2580
mh-jath,2344
mh-jawahar,2520
mh-jintdor,2457
mh-junnar,2132
mh-kagal (murgud),2325
mh-kaij,2445
mh-kalamb,7201
mh-kalamnuri,2455
mh-kallam,2473
mh-kalmeshwar,7118
mh-kalwan,2592
mh-kalyan,251
mh-kamptee,7109
mh-kandhar,2466
mh-kankavali,2367
mh-kannad,2435
mh-karad,2164
mh-karjat,2489:2148
mh-karmala,2182
mh-katol,7112
mh-kavathemankal,2341
mh-kedgaon,2119
mh-khadakwasala,230
mh-khamgaon,7263
mh-khed,2356
mh-khopoli,2192
mh-khultabad,2437
mh-kinwat,2469
mh-kolhapur,231
mh-koparagon,2423
mh-koregaon,2163
mh-kudal,2362
mh-kuhi,7100
mh-kurkheda,7139
mh-kusumba,2560
mh-lakhandur,7181
mh-langa,2351
mh-latur,2382
mh-lonar,7260
mh-lonavala,2114
mh-madangad,2350
mh-madha,2183
mh-mahabaleswar,2168
mh-mahad,2145
mh-mahasala,2149
mh-mahaswad,2373
mh-malegaon,2554
mh-malgaon,7254
mh-malgund,2357
mh-malkapur,7267
mh-malsuras,2185
mh-malwan,2365
mh-manchar,2133
mh-mangalwedha,2188
mh-mangaon,2140
mh-mangrulpur,7253
mh-manjalegaon,2443
mh-manmad,2591
mh-maregaon,7236
mh-margao,8342
mh-marigaon,7237
mh-medha,2378
mh-mekhar,7268
mh-mohadi,7197
mh-mohol,2189
mh-mokhada,2529
mh-morshi,7228
mh-mouda,7115
mh-mukhed,2461
mh-mul,7174
mh-murbad,2524
mh-murtizapur,7256
mh-murud,2144
mh-nagbhir,7179
mh-nagpur,712
mh-nahavara,2137
mh-nanded,2462
mh-nandgaon,7221:2552
mh-nandnva,7279
mh-nandurbar,2564
mh-narkhed,7105
mh-nasikcity,253
mh-navapur,2569
mh-ner,2481
mh-newasa,2427
mh-nilanga,2384
mh-niphad,2550
mh-omerga,2475
mh-osmanabad,2472
mh-pachora,2596
mh-paithan,2431
mh-palghar,2525
mh-pali,2142
mh-pandharkawada,7235
mh-pandharpur,2186
mh-panhala,2328
mh-panji,832
mh-paranda,2477
mh-parbhani,2452
mh-parner,2488
mh-parola,2597
mh-parseoni,7102
mh-partur,2484
mh-patan,2372
mh-pathardi,2428
mh-pathari,2451
mh-patoda,2444
mh-pauni,7185
mh-peint,2558
mh-pen,2143
mh-phaltan,2166
mh-pimpalner,2561
mh-pirangut,2139
mh-poladpur,2191
mh-ponda,8343
mh-pune,20
mh-pusad,7233
mh-pusegaon,2375
mh-radhanagar,2321
mh-rahuri,2426
mh-rajapur,2353
mh-rajgurunagar,2135
mh-rajura,7173
mh-ralegaon,7202
mh-ramtek,7114
mh-ratnagiri,2352
mh-raver,2584
mh-risod,7251
mh-roha,2194
mh-sakarwadi,2160
mh-sakoli,7186
mh-sakri,2568
mh-salekasa,7180
mh-samudrapur,7151
mh-sangamner,2425
"mh-sanganeshwar 
(deorukh)",2354
mh-sangli,233
mh-sangola,2187
mh-sanguem,8345
mh-saoner,7113
mh-saswad,2115
mh-satana,2555
mh-satara,2162
mh-sawantwadi,2363
mh-seloo,7155
mh-shahada,2565
mh-shahapur,2527
mh-shahuwadi (malakapur),2329
mh-shevgaon,2429
mh-shirala,2345
mh-shirol (jalsingpur),2322
mh-shirpur,2563
mh-shirur,2138
mh-shirwal,2169
mh-sholapur,217
mh-shri rampur,2422
mh-shrigonda,2487
mh-shrivardhan,2147
mh-sillod,2430
mh-sinderwahi,7178
mh-sindkheda,2566
mh-sindkhedaraja,7269
mh-sinnar,2551
mh-sironcha,7131
mh-soyegaon,2438
mh-surgena,2593
mh-talasari,2521
mh-talegaokarangal,7156
mh-taloda,2567
mh-tasgaon,2346
mh-tirora,7198
mh-tiwasa,7225
mh-trimbak,2594
mh-tuljapur,2471
mh-tumsar,7183
mh-udgir,2385
mh-umarkhed,7231
mh-umrane,2598
mh-umrer,7116
mh-urlikanchan,2136
mh-vaduj,2161
mh-velhe,2130
mh-vengurla,2366
mh-vijapur,2436
mh-vita,2347
mh-wada,2526
mh-wai,2167
mh-walchandnagar,2118
mh-wani,7239
mh-wardha,7152
mh-warlydwarud,7229
mh-warora,7176
mh-washim,7252
mh-wathar,2371
mh-yawal,2585
mh-yeola,2559
mh-yeotmal,7232
mp-agar,7362
mp-ajaigarh,7730
mp-alirajpur,7394
mp-alot,7410
mp-amarpatan,7675
mp-amarwada,7167
mp-ambah,7538
mp-ambikapur,7774
mp-antagarh,7847
mp-arang,7720
mp-arone,7545
mp-ashoknagar,7543
mp-ashta,7560
mp-atner,7144
mp-babaichichli,7790
mp-bacheli,7857
mp-badamalhera,7689
mp-badarwas,7495
mp-baderajpur,7849
mp-badnagar,7367
mp-badnawar,7295
mp-badwani,7290
mp-bagbahera,7707
mp-bagicha,7769
mp-bagli,7271
mp-baihar,7636
mp-baikunthpur,7836
mp-balaghat,7632
mp-baldeogarh,7684
mp-baldi,7326
mp-balod,7749
mp-balodabazar,7727
mp-balrampur,7831
mp-bamori,7540
mp-banda,7583
mp-bandhavgarh,7653
mp-bareli,7486
mp-baroda,7531
mp-barpalli,7813
mp-barwaha,7280
mp-basana,7724
mp-bastanar,7862
mp-batkakhapa,7169
mp-begamganj,7487
mp-bemetara,7824
mp-beohari,7650
mp-berasia,7565
mp-berchha,7363
mp-berla,7825
mp-betul,7141
mp-bhainsdehi,7143
mp-bhairongarh,7789
mp-bhander,7523
mp-bhanpura,7427
mp-bhanupratappur,7850
mp-bharathpur,7835
mp-bhatapara,7726
mp-bhikangaon,7288
mp-bhilaigarh,7729
mp-bhimpur,7142
mp-bhind,7534
mp-bhitarwar,7525
mp-bhopal,755
mp-bhopalpatnam,7851
mp-biaora,7374
mp-bijadandi,7643
mp-bijapur,7853
mp-bijawar,7608
mp-bijaypur,7528
mp-bilaspur,7752
mp-bina,7580
mp-birsa,7637
mp-birsinghpur,7655
mp-bodla,7740
mp-bokaband,7867
mp-budhni,7564
mp-burhanpur,7325
mp-buxwaha,7609
mp-chachaura,7546
mp-chanderi,7547
mp-chandipara,7818
mp-chaurai,7166
mp-chhapara,7691
mp-chhatarpur,7682
mp-chhindwara,7162
mp-chhuriakala,7745
mp-chicholi,7145
mp-chingamut,7863
mp-chingmut,7855
mp-chitrangi,7806
mp-chuikhadan,7743
mp-churhat,7802
mp-dabhara,7758
mp-dabra,7524
mp-dallirajhara,7748
mp-damoh,7638:7812
mp-dantewada,7856
mp-datia,7522
mp-deobhog,7704
mp-deori,7586
mp-deosar,7801
mp-depalpur,7322
mp-dewas,7272
mp-dhamda,7821
mp-dhamtari,7722
mp-dhar,7292
mp-dharamjaigarh,7766
mp-dharampuri,7294
mp-dindori,7644
mp-dongargarh,7823
mp-durg,788
mp-durgakondal,7843
mp-gadarwara,7791
mp-gairatganj,7481
mp-ganjbasoda,7594
mp-gariaband,7706
mp-garoth,7425
mp-garpa,7846
mp-ghansour,7693
mp-gharghoda,7767
mp-ghatia,7368
mp-ghatigaon,7526
mp-ghorandogri,7146
mp-ghughari,7647
mp-gogaon,7287
mp-gogunda,7865
mp-gohad,7539
mp-goharganj,7480
mp-gopalganj,7695
mp-gotegaon,7794
mp-gourihar,7688
mp-guna,7542
mp-gunnore,7731
mp-gwalior,751
mp-gyraspur,7596
mp-hanumana,7664
mp-harda,7577
mp-harrai,7168
mp-harsud,7327
mp-hatta,7604
mp-hoshangabad,7574
mp-ichhawar,7561
mp-ilamidi,7854
mp-indore,731
mp-isagarh,7541
mp-itarsi,7572
mp-jabalpur,761
mp-jabera,7606
mp-jagdalpur,7782
mp-jaisinghnagar,7651
mp-jaithari,7659
mp-jaitpur,7657
mp-jaitwara,7671
mp-jamai,7160
mp-janjgir,7817
mp-jaora,7414
mp-jarwa,7787
mp-jashpurnagar,7763
mp-jatara,7681
mp-jawad,7420
mp-jhabua,7392
mp-jobat,7393
mp-jora,7537
mp-kakaiya,7649
mp-kanker,7868
mp-kannod,7273
mp-kannodi,7656
mp-karanjia,7645
mp-kareli,7793
mp-karera,7493
mp-karhal,7533
mp-karpa,7628
mp-kasdol,7728
mp-kasrawad,7285
mp-katangi,7630
mp-kathdol,7770
mp-kathghora,7815
mp-katni,7622
mp-kawardha,7741
mp-keolari,7694
mp-keskal,7848
mp-khachrod,7366
mp-khairagarh,7820
mp-khajuraho,7686
mp-khakner,7329
mp-khalwa,7328
mp-khandwa,733
mp-khaniadhana,7497
mp-khargone,7282
mp-khategaon,7274
mp-khetia,7286
mp-khilchipur,7370
mp-khirkiya,7571
mp-khurai,7581
mp-kolaras,7494
mp-kondagaon,7786
mp-konta,7866
mp-korba,7759
mp-kota,7753
mp-kotma,7658
mp-koyelibeda,7840
mp-kuakunda,7858
mp-kukshi,7297
mp-kundam,7623
mp-kunkuri,7764
mp-kurud,7705
mp-kurwai,7593
mp-kusmi,7804
mp-laher,7529
mp-lakhnadon,7690
mp-lamta,7634
mp-lanji,7635
mp-lateri,7590
mp-laundi,7687
mp-lohadigundah,7859
mp-lormi,7756
mp-luckwada,7788
mp-mahasamund,7723
mp-maheshwar,7283
mp-mahidpurcity,7365
mp-maihar,7674
mp-majhagwan,7670
mp-majholi,7803
mp-makodi,7785
mp-malhargarh,7424
mp-manasa,7421
mp-manawar,7291
mp-mandla,7642
mp-mandsaur,7422
mp-manendragarh,7771
mp-manpur,7746:7703:7627
mp-marwahi,7750
mp-mauganj,7663
mp-mawai,7648
mp-mehgaon,7527
mp-mhow,7324
mp-mohla,7747
mp-morena,7532
mp-multai,7147
mp-mungaoli,7548
mp-mungeli,7755
mp-nagod,7673
mp-nagri,7700
mp-nainpur,7646
mp-narainpur,7781
mp-narsingharh,7375
mp-narsinghpur,7792
mp-narwar,7491
mp-nasrullaganj,7563
mp-nateran,7595
mp-neemuch,7423
mp-neora,7721
mp-netanar,7861
mp-niwari,7680
mp-niwas,7641
mp-nowgaon,7685
mp-odgi,7773
mp-pachmarhi,7578
mp-padamkot,7783
mp-pakhanjur,7844
mp-pali,7816
mp-pandaria,7754
mp-pandhana,7320
mp-pandhurna,7164
mp-pandishankar,7819
mp-panna,7732
mp-parasgaon,7784
mp-parasia,7161
mp-pasan,7811
mp-patan,7826:7621
mp-patera,7605
mp-pathalgaon,7765
mp-patharia,7601
mp-pawai,7733
mp-pendra,7751
mp-petlawad,7391
mp-pichhore,7496
mp-pingeshwar,7701
mp-piparia,7576
mp-pohari,7490
mp-prabha pattan,7148
mp-pratappur,7777
mp-premnagar,7776
mp-punasa,7323
mp-pushprajgarh,7629
mp-raghogarh,7544
mp-raghunathpur,7535
mp-rahatgarh,7584
mp-raigarh,7762
mp-raipur,771
mp-raisen,7482
mp-rajandgaon,7744
mp-rajgarh,7372
mp-rajpur,7832:7284
mp-ramchandrapur,7779
mp-ratlam,7412
mp-rehli,7585
mp-rewa,7662
mp-sabalgarh,7536
mp-sagar,7582
mp-sailana,7413
mp-sanwer,7321
mp-saraipali,7725
mp-saranggarh,7768
mp-sarangpur,7371
mp-sardarpur,7296
mp-sarona,7841
mp-satna,7672
mp-saunsar,7165
mp-sehore,7562
mp-semaria,7778
mp-sendhwa,7281
mp-seondha,7521
mp-seoni,7692
mp-seonimalwa,7570
mp-shahdol,7652
mp-shahnagar,7734
mp-shahpur,7640
mp-shajapur,7364
mp-shakti,7757
mp-sheopurkalan,7530
mp-shivpuri,7492
mp-shujalpur,7360
mp-sidhi,7822
mp-sihora,7624
mp-silwani,7484
mp-singrauli,7805
mp-sirmour,7660
mp-sironj,7591
mp-sitamau,7426
mp-sitapur,7834
mp-sohagpur,7575
mp-sondhwa,7395
mp-sonkatch,7270
mp-sukma,7864
mp-surajpur,7775
mp-susner,7361
mp-tamia,7149
mp-tapkara,7761
mp-tarana,7369
mp-tendukheda,7603
mp-teonthar,7661
mp-thandla,7390
mp-tikamgarh,7683
mp-timarani,7573
mp-toynar,7852
mp-udaipur,7833
mp-udaipura,7485
mp-ujjain,734
mp-umariapan,7625
mp-uproda,7810
mp-vidisha,7592
mp-vijayraghogarh,7626
mp-wadrainagar,7772
mp-waraseoni,7633
mp-zhirnia,7289
nd-new delhi,11
ne-agartala,381
ne-aizawal-i,389
ne-aizwal-ii (serchip),3838
ne-along,3783
ne-ambasa,3826
ne-amlaren (dawki),3653
ne-anini,3801
ne-baghmara,3639
ne-bameng,3785
ne-basar,3795
ne-belonia,3823
ne-bishenpur,3879
ne-chakpikarong,3878
ne-champa-i,3831
ne-champai-ii (chiapui),3830
ne-chandel,3872
ne-changlang,3808
ne-cherrapunjee,3637
ne-chowkhem,3806
ne-churchandpur,3874
ne-dadengiri (phulbari),3650
ne-daporizo,3792
ne-demagiri,3834
ne-dharam nagar,3822
ne-dimapur,3862
ne-dirang,3780
ne-hayuliang,3805
ne-huri,3789
ne-imphal,385
ne-itanagar,360
ne-jairampur,3800
ne-jalukie,3839
ne-jiribam,3876
ne-jowai,3652
ne-kailsahar,3824
ne-kalaktung (bomdila),3782
ne-khliehriat,3655
ne-khonsa,3786
ne-khowai,3825
ne-kiphire,3863
ne-kohima,370
ne-kolaring,3788
ne-kolasib,3837
ne-lungleh,372
ne-mairang,3657
ne-mao (korang),3871
ne-mariyang,3798
ne-mawkyrwat,3656
ne-mechuka,3793
ne-miao,3807
ne-mokokchung,369
ne-mon,3869
ne-nefra,3784
ne-nongpoh,3638
ne-nongstoin,3654
ne-pakkekesang,3778
ne-pangin,3797
ne-passighat,368
ne-phek,3865
ne-r.k.pur,3821
"ne-resubelpara 
(mendipathar)",3659
ne-roing-i,3803
ne-roing-ii (arda),3802
ne-roing-iii (mariso),3779
ne-sadarhills (kangpokai),3880
ne-sagalee,3809
ne-saiha-i,3835
ne-saiha-ii (tuipang),3836
ne-seppa,3787
ne-shillong,364
ne-tali,3790
ne-taliha,3791
ne-tamenglong,3877
ne-tawang,3794
ne-tezu,3804
ne-thinghat,3873
ne-thonbal,3848
ne-tuengsang,3861
ne-tura,3651
ne-tuting,3799
ne-ukhrul central,3845
ne-ukhrursouth (kassemkhulen),3870
ne-williamnagar,3658
ne-wokha,3860
ne-yangkiyang,3777
ne-zuenheboto,3867
or-anandapur,6731
or-anugul,6764
or-aska,6822
or-athgarh,6723
or-athmallik,6763
or-attabira,6682
or-bagdihi,6640
or-balangir,6652
or-balasore,6782
or-baliguda,6846
or-balugaon,6756
or-banaigarh,6626
or-bangiriposi,6791
or-barbil,6767
or-bargarh,6646
or-baripada,6792
or-barkot,6643
or-basta,6781
or-berhampur,680
or-betanati,6793
or-bhadrak,6784
or-bhanjanagar,6821
or-bhawanipatna,6670
or-bhubaneshwar,674
or-birmaharajpur,6651
or-bisam cuttack,6863
or-boriguma,6860
or-boudh,6841
or-buguda,6818
or-chandbali,6786
or-chhatrapur,6811
or-chhendipada,6761
or-cuttack,671
or-daringbadi,6849
or-daspalla,6757
or-deodgarh,6641
or-dhanmandal,6725
or-dharamgarh,6672
or-dhenkanal,6762
or-digapahandi,6814
or-dunguripali,6653
or-g.udayagiri,6847
or-ghatgaon,6733
or-gudari,6862
or-gunupur,6857
or-hemgiri,6621
or-hindol,6732
or-jagatsinghpur,6724
or-jajapur road,6726
or-jajapur town,6728
or-jamankira,6649
or-jashipur,6797
or-jayapatna,6673
or-jeypore,6854
or-jharigan,6867
or-jharsuguda,6645
or-jujumura,6681
or-kalimela,6850
or-kamakhyanagar,6769
or-kantabhanji,6657
or-kantamal,6844
or-karanjia,6796
or-kashipur,6865
or-kendrapara,6727
or-keonjhar,6766
or-khalikote,6810
or-khurda,6755
or-komana,6679
or-koraput,6852
or-kotagarh,6848
or-kuchinda,6642
or-lahunipara,6625
or-laxmipur,6855
or-m.rampur,6676
or-malkangiri,6861
or-mathili,6864
or-mohana,6816
or-motu,6859
or-naktideul,6647
or-nandapur,6868
or-narlaroad,6677
or-narsinghpur,6721
or-nayagarh,6753
or-nimapara,6758
or-nowparatan,6678
or-nowrangapur,6858
or-padmapur,6683
or-paikamal,6684
or-palla hara,6765
or-papadhandi,6869
or-parajang,6768
or-pardip,6722
or-parlakhemundi,6815
or-patnagarh,6648
or-pattamundai,6729
or-phiringia,6845
or-phulbani,6842
or-puri,6752
or-puruna katak,6843
or-r.udayigiri,6817
or-rairakhol,6644
or-rairangpur,6794
or-rajgangpur,6624
or-rajkhariar,6671
or-rayagada,6856
or-rourkela,661
or-sambalpur,663
or-sohela,6685
or-sonapur,6654
or-soro,6788
or-sunabeda,6853
or-sundargarh,6622
or-surada,6819
or-t.rampur,6675
or-talcher,6760
or-telkoi,6735
or-titlagarh,6655
or-tumudibandha,6840
or-udala,6795
or-umerkote,6866
pb-abohar,1634
pb-ajnala,1858
pb-amritsar,183
pb-balachaur,1885
pb-barnala,1679
pb-batala,1871
pb-bhatinda,164
pb-chandigarh,172
pb-dasua,1883
pb-dinanagar,1875
pb-faridakot,1639
pb-fazilka,1638
pb-ferozepur,1632
pb-garhashanker,1884
pb-goindwal,1859
pb-gurdaspur,1874
pb-guruharsahai,1685
pb-hoshiarpur,1882
pb-jagraon,1624
pb-jallandhar,181
pb-jugial,1870
pb-kapurthala,1822
pb-kharar,160
pb-kotkapura,1635
pb-ludhiana,161
pb-malaut,1637
pb-malerkotla,1675
pb-mansa,1652
pb-moga,1636
pb-muktasar,1633
pb-nabha,1765
pb-nakodar,1821
pb-nangal,1887
pb-nawanshahar,1823
pb-pathankot,186
pb-patiala,175
pb-patti,1851
pb-phagwara,1824
pb-phillaur,1826
pb-phulmandi,1651
pb-quadian,1872
pb-rajpura,1762
pb-raman,1655
pb-rayya,1853
pb-ropar,1881
pb-samana,1764
pb-samrala,1628
pb-sangrur,1672
pb-sardulgarh,1659
pb-sarhind,1763
pb-sultanpur lodhi,1828
pb-sunam,1676
pb-tanda urmar,1886
pb-taran taran,1852
pb-zira,1682
rj-abu road,2974
rj-ahore,2978
rj-ajmer,145
rj-aklera,7431
rj-alwar,144
rj-amber (chomu),1423
rj-amet,2908
rj-anupgarh (e),1498
rj-anupgarh (w) (gharsana),1506
rj-asind,1480
rj-aspur,2967
rj-atru,7451
rj-bagidora,2968
rj-bali (n),2933
rj-bali (s),2938
rj-bamanwas,7467
rj-banera,1487
rj-bansur,1461
rj-banswara,2962
rj-baran,7453
rj-bari,5647
rj-barisadri,1473
rj-barmer (e) (gudda),2983
rj-barmer (n) (kanot),2902
rj-barmer (s) sindari,2984
"rj-barmer (sw) 
(dhorimanna)",2986
rj-barmer (w) (ramsar),2985
rj-barmer(c),2982
rj-baseri,5646
rj-bassi,1429
rj-baswa (bandikui),1420
rj-bayana,5648
rj-beawar,1462
rj-begun(n),1474
rj-begun(s) (rawatbhata),1475
rj-behror,1494
rj-bhadra,1504
rj-bharatpur,5644
rj-bhilwara,1482
rj-bhim (n),2951
rj-bhim (s) (dawer),2909
rj-bhinmal (n),2969
rj-bhinmal (s) (jasawantpura),2990
rj-bikaner (e) (jamsar),1522
rj-bikaner (n) (chhatargarh),1520
rj-bikaner (s),151
rj-bikaner (w) (poogal),1523
rj-bikaner(c) (jaimalsar),1521
rj-bilara (n) (bhopalgarh),2920
rj-bilara (s) (piparcity),2930
rj-bonli,7466
rj-bundi,747
rj-chhabra,7452
rj-chhipaborad,7454
rj-chirawa,1596
rj-chittorgarh,1472
rj-chohtan (n),2989
rj-chohtan (s) (gangasar),2903
rj-churu,1562
rj-dantara,1577
"rj-dantaramgarh (e) 
(shyamji)",1576
rj-dausa,1427
rj-deedwana,1580
rj-deeg,5641
rj-degana,1587
rj-deogarh,2904
rj-deoli,1434
rj-desuri (rani),2934
rj-dhariawad,2950
rj-dholpur,5642
rj-digod (sultanpur),7455
rj-dudu,1428
rj-dungarpur,2964
rj-dungla,1470
rj-fat,1571
rj-gangapur,7463
rj-gangdhar,7435
rj-gerhi (partapur),2963
rj-ghatol,2961
rj-girwa (udaipur),294
rj-gogunda,2956
rj-hanumangarh,1552
rj-hindaun,7469
rj-hindoli,7436
rj-hurda (gulabpura),1483
rj-jahazpur,1485
rj-jaipur,141
rj-jaisalmer-1 (ramgarh),2991
rj-jaisalmer-10 (khuri),3014
rj-jaisalmer-11 (jaisalmer),2992
